Kyoko,Hata,12345a,6041234567,Jan-01-1980,1528415564
Kyoko,Hata,12345a,6041234567,Jan-01-1980,1528418299
KyokoThree,HataThree,12345a,6041234567,Mar-01-1980,1528427633
KyokoFour,HataFour,12345a,5041234567,Apr-01-1980,1528427780
Anna,Aaron,12345a,6042345678,Jun-01-1980,1528494414
Harreson,Sito,12345a,8888888888,Sep-01-1980,1528501670
Kyoko,Hata,12345a,6041234567,Jan-01-1980,1529254230
Kyoko,Hata,12345a,5041234567,Jan-01-1980,1529259066
Kyoko,Hata,12345a,5041234567,Mar-01-1980,1529259170
Kyoko,Hata,12345a,5041234567,Mar-01-1980,1529259482
Kyoko,Hata,12345a,5041234567,Mar-01-1980,1529260168
Kyoko,Hata,12345a,5041234567,Mar-01-1980,1529260200
Kyoko,Hata,12345a,5041234567,Mar-01-1980,1529260363
Kyoko,Hata,12345a,5041234567,Mar-01-1980,1529260966
Kyoko,Hata,12345a,5041234567,Mar-01-1980,1529261785
